zip3,month,cumulative,lat,lon
750,2018-01-01 00:00:00,29361460.25,33.224514952448025,-96.72806492462394
750,2018-02-01 00:00:00,55981511.59,33.224514952448025,-96.72806492462394
750,2018-03-01 00:00:00,85771725.95,33.224514952448025,-96.72806492462394
750,2018-04-01 00:00:00,114002828.27000001,33.224514952448025,-96.72806492462394
750,2018-05-01 00:00:00,142748064.71,33.224514952448025,-96.72806492462394
750,2018-06-01 00:00:00,168243571.20000002,33.224514952448025,-96.72806492462394
750,2018-07-01 00:00:00,194731874.73000002,33.224514952448025,-96.72806492462394
750,2018-08-01 00:00:00,223708413.55,33.224514952448025,-96.72806492462394
750,2018-09-01 00:00:00,252584140.05,33.224514952448025,-96.72806492462394
750,2018-10-01 00:00:00,282166926.06,33.224514952448025,-96.72806492462394
750,2018-11-01 00:00:00,309698600.68,33.224514952448025,-96.72806492462394
750,2018-12-01 00:00:00,336625874.82,33.224514952448025,-96.72806492462394
750,2019-01-01 00:00:00,367855381.96999997,33.224514952448025,-96.72806492462394
750,2019-02-01 00:00:00,397134657.21,33.224514952448025,-96.72806492462394
750,2019-03-01 00:00:00,429062828.40999997,33.224514952448025,-96.72806492462394
750,2019-04-01 00:00:00,460079069.59999996,33.224514952448025,-96.72806492462394
750,2019-05-01 00:00:00,491467510.4499999,33.224514952448025,-96.72806492462394
750,2019-06-01 00:00:00,519079039.87999994,33.224514952448025,-96.72806492462394
750,2019-07-01 00:00:00,548977705.3,33.224514952448025,-96.72806492462394
750,2019-08-01 00:00:00,581327910.54,33.224514952448025,-96.72806492462394
750,2019-09-01 00:00:00,611832187.9399999,33.224514952448025,-96.72806492462394
750,2019-10-01 00:00:00,645527166.5999999,33.224514952448025,-96.72806492462394
750,2019-11-01 00:00:00,676129709.0699999,33.224514952448025,-96.72806492462394
750,2019-12-01 00:00:00,707235931.4499999,33.224514952448025,-96.72806492462394
750,2020-01-01 00:00:00,741829950.64,33.224514952448025,-96.72806492462394
750,2020-02-01 00:00:00,775763912.67,33.224514952448025,-96.72806492462394
750,2020-03-01 00:00:00,805275030.87,33.224514952448025,-96.72806492462394
750,2020-04-01 00:00:00,829753678.54,33.224514952448025,-96.72806492462394
750,2020-05-01 00:00:00,856487743.75,33.224514952448025,-96.72806492462394
750,2020-06-01 00:00:00,887170929.43,33.224514952448025,-96.72806492462394
750,2020-07-01 00:00:00,923893650.8599999,33.224514952448025,-96.72806492462394
750,2020-08-01 00:00:00,958083940.2799999,33.224514952448025,-96.72806492462394
750,2020-09-01 00:00:00,999814969.28,33.224514952448025,-96.72806492462394
750,2020-10-01 00:00:00,1058933622.52,33.224514952448025,-96.72806492462394
750,2020-11-01 00:00:00,1148850365.27,33.224514952448025,-96.72806492462394
750,2020-12-01 00:00:00,1250538103.57,33.224514952448025,-96.72806492462394
750,2021-01-01 00:00:00,1354360148.4399998,33.224514952448025,-96.72806492462394
750,2021-02-01 00:00:00,1441941033.86,33.224514952448025,-96.72806492462394
750,2021-03-01 00:00:00,1558131835.2099998,33.224514952448025,-96.72806492462394
750,2021-04-01 00:00:00,1668058557.3499997,33.224514952448025,-96.72806492462394
750,2021-05-01 00:00:00,1769193634.1599996,33.224514952448025,-96.72806492462394
750,2021-06-01 00:00:00,1873826931.0599995,33.224514952448025,-96.72806492462394
750,2021-07-01 00:00:00,1981796394.4199994,33.224514952448025,-96.72806492462394
750,2021-08-01 00:00:00,2098207660.5799994,33.224514952448025,-96.72806492462394
750,2021-09-01 00:00:00,2210848858.1599994,33.224514952448025,-96.72806492462394
750,2021-10-01 00:00:00,2321517097.8899994,33.224514952448025,-96.72806492462394
750,2021-11-01 00:00:00,2430617503.3899994,33.224514952448025,-96.72806492462394
750,2021-12-01 00:00:00,2542224150.089999,33.224514952448025,-96.72806492462394
750,2022-01-01 00:00:00,2659102285.33,33.224514952448025,-96.72806492462394
750,2022-02-01 00:00:00,2758561914.75,33.224514952448025,-96.72806492462394
750,2022-03-01 00:00:00,2885350416.89,33.224514952448025,-96.72806492462394
750,2022-04-01 00:00:00,3002268915.62,33.224514952448025,-96.72806492462394
750,2022-05-01 00:00:00,3115468075.48,33.224514952448025,-96.72806492462394
750,2022-06-01 00:00:00,3227872752.02,33.224514952448025,-96.72806492462394
750,2022-07-01 00:00:00,3340403014.34,33.224514952448025,-96.72806492462394
750,2022-08-01 00:00:00,3465904825.26,33.224514952448025,-96.72806492462394
750,2022-09-01 00:00:00,3581035417.2700005,33.224514952448025,-96.72806492462394
750,2022-10-01 00:00:00,3699017675.1400003,33.224514952448025,-96.72806492462394
750,2022-11-01 00:00:00,3819008990.5800004,33.224514952448025,-96.72806492462394
750,2022-12-01 00:00:00,3931821827.36,33.224514952448025,-96.72806492462394
750,2023-01-01 00:00:00,4048703429.6600003,33.224514952448025,-96.72806492462394
750,2023-02-01 00:00:00,4153241014.2700005,33.224514952448025,-96.72806492462394
750,2023-03-01 00:00:00,4275243513.01,33.224514952448025,-96.72806492462394
750,2023-04-01 00:00:00,4392258716.62,33.224514952448025,-96.72806492462394
750,2023-05-01 00:00:00,4516569611.559999,33.224514952448025,-96.72806492462394
750,2023-06-01 00:00:00,4632025098.709999,33.224514952448025,-96.72806492462394
750,2023-07-01 00:00:00,4745177322.949999,33.224514952448025,-96.72806492462394
750,2023-08-01 00:00:00,4873438372.909999,33.224514952448025,-96.72806492462394
750,2023-09-01 00:00:00,4994833104.219998,33.224514952448025,-96.72806492462394
750,2023-10-01 00:00:00,5121620595.659998,33.224514952448025,-96.72806492462394
